IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,Scope/DeviceGroups,Category,MitreTechniques,GenerateAlert
DomainName,filehubspot.com,,Block,Informational,Sidecopy IOC,A cyberespionage operation tracked SideCopy is reportedly in surge for its attack activities. It is known for targeting users with the intent to steal sensitive information. Recent attack activities attribute the attacker utilizing new COVID-19 theme and malware to target government sector,Blocked execition. No action required.,,APT,,FALSE
DomainName,mailfourms.com,,Block,Informational,Sidecopy IOC,A cyberespionage operation tracked SideCopy is reportedly in surge for its attack activities. It is known for targeting users with the intent to steal sensitive information. Recent attack activities attribute the attacker utilizing new COVID-19 theme and malware to target government sector,Blocked execition. No action required.,,APT,,FALSE
