Type,Indicator Value
URL,hxxp://lockbitks2tvnmwk[.]onion/?92727ee520aebc7db018651dbcf6a903
URL,hxxp://lockbitks2tvnmwk[.]onion/?8cf3e3c381b4e3e2dd6218830eab1937
URL,hxxp://lockbitks2tvnmwk[.]onion/?8cf3e3c381b4e3e2c3e99c5cab5b114f
URL,hxxp://lockbitks2tvnmwk[.]onion/?8b28321abd4e73ffa3972c962701b1c6
URL,hxxp://lockbitks2tvnmwk[.]onion/?8b28321abd4e73ff947ffdb0830a9bbd
URL,hxxp://lockbitks2tvnmwk[.]onion/?8841dd9b0ac925ffea072c230e6c6e86
URL,hxxp://lockbitks2tvnmwk[.]onion/?8841dd9b0ac925ffcb8a22ce2d1f7a6a
URL,hxxp://lockbitks2tvnmwk[.]onion/?8841dd9b0ac925ff8cdb45fa32c58795
URL,hxxp://lockbitks2tvnmwk[.]onion/?85c01e35fd24495cd7f75dbe06dd8a8e
URL,hxxp://lockbitks2tvnmwk[.]onion/?85c01e35fd24495cabd967551f73c273
URL,hxxp://lockbitks2tvnmwk[.]onion/?828c57864cbb23b6f00d7365444267c2
URL,hxxp://lockbitks2tvnmwk[.]onion/?828c57864cbb23b6e1fda4efbb92a2c4
URL,hxxp://lockbitks2tvnmwk[.]onion/?828c57864cbb23b6c0372f2c9dfc478e
URL,hxxp://lockbitks2tvnmwk[.]onion/?828c57864cbb23b694906f88baef18c7
URL,hxxp://lockbitks2tvnmwk[.]onion
URL,hxxp://lockbitaptstzf3er2lz6ku3xuifafq2yh5lmiqj5ncur6rtlmkteiqd[.]onion
URL,hxxp://lockbitaptq7ephv2oigdncfhtwhpqgwmqojnxqdyhprxxfpcllqdxad[.]onion
URL,hxxp://lockbitaptoofrpignlz6dt2wqqc5z3a4evjevoa3eqdfcntxad5lmyd[.]onion
URL,hxxp://lockbitaptjpikdqjynvgozhgc6bgetgucdk5xjacozeaawihmoio6yd[.]onion
URL,hxxp://lockbitaptc2iq4atewz2ise62q63wfktyrl4qtwuk5qax262kgtzjqd[.]onion
URL,hxxp://lockbitaptbdiajqtplcrigzgdjprwugkkut63nbvy2d5r4w2agyekqd[.]onion
URL,hxxp://lockbitaptawjl6udhpd323uehekiyatj6ftcxmkwe5sezs4fqgpjpid[.]onion
URL,hxxp://lockbitapt72iw55njgnqpymggskg5yp75ry7rirtdg4m7i42artsbqd[.]onion
URL,hxxp://lockbitapt6vx57t3eeqjofwgcglmutr3a35nygvokja5uuccip4ykyd[.]onion
URL,hxxp://lockbitapt5x4zkjbcqmz6frdhecqqgadevyiwqxukksspnlidyvd7qd[.]onion
URL,hxxp://lockbitapt34kvrip6xojylohhxrwsvpzdffgs5z4pbbsywnzsbdguqd[.]onion
URL,hxxp://lockbitapt2yfbt7lchxejug47kmqvqqxvvjpqkmevv4l3azl3gy6pyd[.]onion
URL,hxxp://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead[.]onion
URL,hxxp://lockbitapt[.]uz
URL,hxxp://lockbit-decryptor[.]top/?cb814bf5252f2b2ea736bae86cbcf628
URL,hxxp://lockbit-decryptor[.]top/?cb814bf5252f2b2ea3fe8107302e50ff
URL,hxxp://lockbit-decryptor[.]top/?a2232793f05765b5c9ac68b9fad2a1ff
URL,hxxp://lockbit-decryptor[.]top/?a2232793f05765b5c28d50f847219aa9
URL,hxxp://lockbit-decryptor[.]top/?a2232793f05765b5b85bb84c8da9db4d
URL,hxxp://lockbit-decryptor[.]top/?a2232793f05765b5aa8bd0bc79613991
URL,hxxp://lockbit-decryptor[.]top/?9b7fda8d33fec3f997360f45c651cd80
URL,hxxp://lockbit-decryptor[.]top/?96b283ef5b7acd4ce514760e6c76dd19
URL,hxxp://lockbit-decryptor[.]top/?96b283ef5b7acd4cd8f82cd385f7b7d4
URL,hxxp://lockbit-decryptor[.]top/?96b283ef5b7acd4cbf37248ab20916dd
URL,hxxp://lockbit-decryptor[.]top/?96b283ef5b7acd4cba28204b9ace04d7
URL,hxxp://lockbit-decryptor[.]top/?96b283ef5b7acd4cb4866f7e3736dc38
URL,hxxp://lockbit-decryptor[.]top/?96b283ef5b7acd4cb0221ee5b5d41430
URL,hxxp://lockbit-decryptor[.]top/?96b283ef5b7acd4caff60ac8c075e649
URL,hxxp://lockbit-decryptor[.]top/?96b283ef5b7acd4cafa3a6a68e5a0970
URL,hxxp://lockbit-decryptor[.]top/?96b283ef5b7acd4cad70668439891476
URL,hxxp://lockbit-decryptor[.]top/?96b283ef5b7acd4cac43816fe754becc
URL,hxxp://lockbit-decryptor[.]top/?96b283ef5b7acd4ca9a01f7006c0a55e
URL,hxxp://lockbit-decryptor[.]top/?96b283ef5b7acd4c9f9a1cc242625249
URL,hxxp://lockbit-decryptor[.]top/?96b283ef5b7acd4c9ea6d36aad088c6a
URL,hxxp://lockbit-decryptor[.]top/?96b283ef5b7acd4c956975d05400de35
URL,hxxp://lockbit-decryptor[.]top/?8cf3e3c381b4e3e2dd6218830eab1937
URL,hxxp://lockbit-decryptor[.]top/?8cf3e3c381b4e3e2c3e99c5cab5b114f
URL,hxxp://lockbit-decryptor[.]top/?8b28321abd4e73ffa3972c962701b1c6
URL,hxxp://lockbit-decryptor[.]top/?8b28321abd4e73ff947ffdb0830a9bbd
URL,hxxp://lockbit-decryptor[.]top/?8841dd9b0ac925ffea072c230e6c6e86
URL,hxxp://lockbit-decryptor[.]top/?8841dd9b0ac925ffcb8a22ce2d1f7a6a
URL,hxxp://lockbit-decryptor[.]top/?8841dd9b0ac925ff8cdb45fa32c58795
URL,hxxp://lockbit-decryptor[.]top/?85c01e35fd24495cd7f75dbe06dd8a8e
URL,hxxp://lockbit-decryptor[.]top/?85c01e35fd24495cabd967551f73c273
URL,hxxp://lockbit-decryptor[.]top
URL,hxxp://lockbit-decryptor[.]com/?addd79899d34fb74c43f52b0a95da6a7
URL,hxxp://lockbit-decryptor[.]com/?addd79899d34fb7491c6ff7476ce466dfollow
URL,hxxp://lockbit-decryptor[.]com/?addd79899d34fb7491c6ff7476ce466d
URL,hxxp://lockbit-decryptor[.]com/?
URL,hxxp://dtutgqjuzv7sktgl[.]onion/
