IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Category,Description,RecommendedActions
Url,http://stayfitphysio.ca/wp-content/FILE/cjcGNbjWiBAsCE/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://phongchitt.com/IRS-Tax-Transcipts-013I/1/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://dyingtoachieve.com/t10p/rohl4eo515ei8b4ogccm21kj0o9skc_alqvilskl-743113193059697/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://v7gfx.de/20160310duerr0109/LLC/qrBbknnseecObTwT/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://hawk-lines.com/backup/sites/sZYEsnWaux/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://alcam.ch/hochzeit/NGFxaEktFlrfCKu/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://tys-yokohama.co.jp/FCKeditor/9525092916798083/t4dudkr9ty2whnr_xq2buif1-35425791/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://joshgeneralremodeling.us/educarni[.]com/72izopqq_db5m8g-4856039954/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://www.anysbergbiltong.co.za/48f5ce/Abierto-Pasado-Vencimiento-Pedidos/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://aivaelectric.com/dup-installer/DOC/rv201ul6ik_b6bvwp-89755135449551/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://www.cgi.org.ar/web/paclm/ZfzNFnuhdj/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://intellmix.com/terml/zgzevexbn6xt9ovy5it_npxab-70479693822/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://rebel.ae/wp-content/uploads/sxqzxzxjlma/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://www.iloveat.fr/wp-admin/3415296335261/jVxNIOKriaB/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://xwai.com/images/4ETIITPGOP39Q8B/kwdHAJErSALBnjMv/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://suisuncitystorage.com/sitemaps/paclm/2uevn7w8kmgo1ptlv_hybuz-38522455806/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://rupertsherwood.com/Templates/esp/b207qn1fc3l1lugdtga23zf0o_b178b9ps-936935507/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://sampling-group.com/local-cgi/471399676748287/WDeWkyucWTghbNkiG/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://schaye.net/dzs6tqc3x9jg0ijc_twi3m1o-79432464/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://sestili.it/DEVIL/DOC/APPOciSHyMPaGQtPqOSifHBBcBIWT/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://sirinadas.com/wp-includes/js/tinymce/plugins/link/Scan/GcplcjpHiOn/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://levarudevich.ru/wp-includes/esp/MPuqJHEqnnZpfY/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://mfstol.ru/includes/esp/RlswyAwqyArltTxbrUuL/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://urbaniak.waw.pl/Telekom/parts_service/DotwoNQJaGLoRJUPggEeBkTYVYHz/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://woellhaf-it.de/administrator/1r5qcze348s9znsxa6_2plk6k7o6n-7462539924/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://izeres.ml/css/sites/ptoytsw5ey6u8qz8k61h9c064a4s5_zlsr2d-424736105/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://mssewatrust.com/onlinetest/admin/ckeditor/paclm/6yxe3s2dwhgvdj966xfjt2a9w_hfl078o-7601697983699/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://deleogun.com/paclm/bziuafhvqldwwfaavqunupzofq/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://airnetinfotech.com/wp-content/ZPOpEjlGQiZZdWq/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://adinehac.ir/wp-content/f4ak64i8m_5lqmouh-39689247676/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://muaxuanmedia.com/wp-content/ZL2X40DCDPMFW/iiLdOqHhNrkDMTvCesTTANhNjAJMs/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://www.banglanews-24.com/wp-content/parts_service/vjeb6w3hw7g6xewibl73rab_3cw6j-72270923519546/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://schwaemmlein.de/dbcj_c8yt7-71421997/esp/kuPBMuomOhyeTvappQrXsiwdgoy/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://toggwyler.ch/css/INC/kGgbjIgbhvvhEFfbZJmvvuWvk/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://winebiddingthailand.com/img/QBQUlUaWQYJkwfLrUEvTgn/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://novaworld-novaland.vn/wp-admin/sites/jlrmc2o7md_xfsezbbh1-42773995339368/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://steller-architekt.eu/cgi-bin/DOC/rUwFODyvPIuvzvcIvqfCCUjF/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://shirtprinter.de/cgi-bin/esp/zrdCclxpEJLRBFYIfho/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://taskforce1.net/wp-admin/paclm/b33w806gu34ln6s_o75jzedoh-7204931873/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://www.nacindia.in/wp-content/lm/UmDCtPUxQNkPBLcxCCHuXqqIqTtv/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://sdorf.com.br/novo/sites/bryxrOHplfQBngBosSxX/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://safarigold.com/ebayimages/d6p04w1j7i2fvike7y6xv6_mbmyo-8099768843/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://spitbraaihire.co.za/Scan/DOC/sull3k2no2mgdewgvid63m8dxb2d_35jp7g-70388299/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://sonnyelectric.com/ssfm/ty60l5pgisaa_vkgnzq-648414481325695/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://www.liujinping.cn/wp-includes/wMXOqDeWE/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
Url,http://pindnews.com/wp-admin/ztgjmtijm408j8g8p776z_snq3q7-469226487160/,,AlertAndBlock,High,EMOTET Document Download URL,0,malware downloader,Wipe machine to eradicate threat.
