IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,Scope/DeviceGroups,Category,MitreTechniques,GenerateAlert
DomainName,updaterweb.com,,Block,Informational,FANCY BEAR IOC - Skinny Boy,Recent campaign activities attribute threat group new malware variantSkinny Boy in spear phishing campaigns. The attack operators reportedly distribute the malware through a spoofed email invitation containing a macro-enabled Microsoft Word document that extracts a DLL file acting as a malware downloader.,Blocked execition. No action required.,,APT,,FALSE
DomainName,getstatpro.com,,Block,Informational,FANCY BEAR IOC - Skinny Boy,Recent campaign activities attribute threat group new malware variantSkinny Boy in spear phishing campaigns. The attack operators reportedly distribute the malware through a spoofed email invitation containing a macro-enabled Microsoft Word document that extracts a DLL file acting as a malware downloader.,Blocked execition. No action required.,,APT,,FALSE
