IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,Scope/DeviceGroups,Category,MitreTechniques,GenerateAlert
DomainName,com-view.tk,,Block,Informational,Ferocious Kitten APT IOC,"Ferocious Kitten, an APT group is reportedly in surge for its malicious attack tactics. The threat group is reportedly utilizing MarkiRAT malware to target users. The malware capabilities includes recording keystrokes, clipboard content, file download and upload capabilities and ability to execute arbitrary commands on the targeted system. It is reportedly attributed that tactics and techniques used by threat group are similar to Domestic Kitten and Rampant Kitten.",Blocked execition. No action required.,,APT,,FALSE
DomainName,unupload.xyz,,Block,Informational,Ferocious Kitten APT IOC,"Ferocious Kitten, an APT group is reportedly in surge for its malicious attack tactics. The threat group is reportedly utilizing MarkiRAT malware to target users. The malware capabilities includes recording keystrokes, clipboard content, file download and upload capabilities and ability to execute arbitrary commands on the targeted system. It is reportedly attributed that tactics and techniques used by threat group are similar to Domestic Kitten and Rampant Kitten.",Blocked execition. No action required.,,APT,,FALSE
DomainName,updatei.com,,Block,Informational,Ferocious Kitten APT IOC,"Ferocious Kitten, an APT group is reportedly in surge for its malicious attack tactics. The threat group is reportedly utilizing MarkiRAT malware to target users. The malware capabilities includes recording keystrokes, clipboard content, file download and upload capabilities and ability to execute arbitrary commands on the targeted system. It is reportedly attributed that tactics and techniques used by threat group are similar to Domestic Kitten and Rampant Kitten.",Blocked execition. No action required.,,APT,,FALSE
DomainName,com-view.org,,Block,Informational,Ferocious Kitten APT IOC,"Ferocious Kitten, an APT group is reportedly in surge for its malicious attack tactics. The threat group is reportedly utilizing MarkiRAT malware to target users. The malware capabilities includes recording keystrokes, clipboard content, file download and upload capabilities and ability to execute arbitrary commands on the targeted system. It is reportedly attributed that tactics and techniques used by threat group are similar to Domestic Kitten and Rampant Kitten.",Blocked execition. No action required.,,APT,,FALSE
DomainName,updatet.net,,Block,Informational,Ferocious Kitten APT IOC,"Ferocious Kitten, an APT group is reportedly in surge for its malicious attack tactics. The threat group is reportedly utilizing MarkiRAT malware to target users. The malware capabilities includes recording keystrokes, clipboard content, file download and upload capabilities and ability to execute arbitrary commands on the targeted system. It is reportedly attributed that tactics and techniques used by threat group are similar to Domestic Kitten and Rampant Kitten.",Blocked execition. No action required.,,APT,,FALSE
DomainName,updatesystem.site,,Block,Informational,Ferocious Kitten APT IOC,"Ferocious Kitten, an APT group is reportedly in surge for its malicious attack tactics. The threat group is reportedly utilizing MarkiRAT malware to target users. The malware capabilities includes recording keystrokes, clipboard content, file download and upload capabilities and ability to execute arbitrary commands on the targeted system. It is reportedly attributed that tactics and techniques used by threat group are similar to Domestic Kitten and Rampant Kitten.",Blocked execition. No action required.,,APT,,FALSE
DomainName,com-view.space,,Block,Informational,Ferocious Kitten APT IOC,"Ferocious Kitten, an APT group is reportedly in surge for its malicious attack tactics. The threat group is reportedly utilizing MarkiRAT malware to target users. The malware capabilities includes recording keystrokes, clipboard content, file download and upload capabilities and ability to execute arbitrary commands on the targeted system. It is reportedly attributed that tactics and techniques used by threat group are similar to Domestic Kitten and Rampant Kitten.",Blocked execition. No action required.,,APT,,FALSE
DomainName,unupdate.com,,Block,Informational,Ferocious Kitten APT IOC,"Ferocious Kitten, an APT group is reportedly in surge for its malicious attack tactics. The threat group is reportedly utilizing MarkiRAT malware to target users. The malware capabilities includes recording keystrokes, clipboard content, file download and upload capabilities and ability to execute arbitrary commands on the targeted system. It is reportedly attributed that tactics and techniques used by threat group are similar to Domestic Kitten and Rampant Kitten.",Blocked execition. No action required.,,APT,,FALSE
