IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,RbacGroups,Category,MitreTechniques,GenerateAlert
DomainName,n29k4.ilert.ru,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,galume.aricente.com,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,beacon.diremsto.com,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,9oc0y2isa27.demur3.com,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,codecrafterspro.com,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,codecrafters.su,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,zekal6.tnjxb.com,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,35fu2.ouchar.ru,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,devcraftingsolutions.com,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,n9zph.lw8opi.com,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,kjsdflwe.nitertym.ru,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,horizon.sologerg.com,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,zemj4f.ymarir.ru,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,e85t8.nechsha.com,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,6j312.rchan0.com,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,tnyr.moporins.com,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,fiq75d.rexj.ru,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
DomainName,jp1y36.it2ua.com,,BlockAndRemediate,Medium,Tycoon 2FA IOC,APT 2FA bypass IOC,Reset user's MFA and password,,SuspiciousActivity,,TRUE
