IndicatorType,IndicatorValue,ExpirationTime,Action,Severity,Title,Description,RecommendedActions,Scope/DeviceGroups,Category,MitreTechniques,GenerateAlert
IpAddress,144.91.65.101,,Block,Informational,Sidecopy IOC,A cyberespionage operation tracked SideCopy is reportedly in surge for its attack activities. It is known for targeting users with the intent to steal sensitive information. Recent attack activities attribute the attacker utilizing new COVID-19 theme and malware to target government sector,Exection blocked. No action required.,,APT,,FALSE
IpAddress,93.104.215.45,,Block,Informational,Sidecopy IOC,A cyberespionage operation tracked SideCopy is reportedly in surge for its attack activities. It is known for targeting users with the intent to steal sensitive information. Recent attack activities attribute the attacker utilizing new COVID-19 theme and malware to target government sector,Exection blocked. No action required.,,APT,,FALSE
IpAddress,173.249.37.70,,Block,Informational,Sidecopy IOC,A cyberespionage operation tracked SideCopy is reportedly in surge for its attack activities. It is known for targeting users with the intent to steal sensitive information. Recent attack activities attribute the attacker utilizing new COVID-19 theme and malware to target government sector,Exection blocked. No action required.,,APT,,FALSE
